,Count,News Agency,Compound Score,Positive Score,Negative Score,Neutral Score,Status Tweet
0,0,@BBC,0.5743,0.179,0.0,0.821,"GET EXCITED!! 🎤❤️️🎶
@Camila_Cabello has set the release date of her debut album Camila for 12 January.… https://t.co/gRtJVD7FEh"
1,1,@BBC,-0.3595,0.0,0.135,0.865,"Have we got five eight-year-olds robbing houses? No! We've got two bams with triplets. 😂
#ScotSquad via… https://t.co/HUsw0CjaoY"
2,2,@BBC,0.7783,0.244,0.0,0.756,"The history of condoms stretches back around 3,000 years – but they still offer the best protection against STIs.… https://t.co/shw3Jn5og1"
3,3,@BBC,0.0,0.0,0.0,1.0,"Sexually frivolous and morally ambiguous. 
Meet pro wrestling’s pansexual phenomenon...🏳️‍🌈🤼‍♀️
Via @BBC5Live. https://t.co/2Asruxhnv8"
4,4,@BBC,0.8911,0.436,0.096,0.468,"RT @BBCWthrWatchers: Ok, so #snow can be a pain ...but wow 😍 
We're all feeling just a little more festive after your great efforts today!…"
5,5,@BBC,0.0,0.0,0.0,1.0,"RT @bbcthree: YOU'VE BEEN LIVING A LIE.
https://t.co/YUCx48Mv0o"
6,6,@BBC,0.3182,0.145,0.092,0.763,"RT @bbcstories: Do our young men lack positive role models? Davis thought so, so he founded The Manhood Academy. #EverydayHeroes https://t.…"
7,7,@BBC,0.4939,0.144,0.0,0.856,"RT @BBCEarth: In Cape Verde, @ProjetoBioSal is on a mission to save baby turtles from human impact. 🐢
#OurBluePlanet w/ @AluciaProd https:/…"
8,8,@BBC,0.8655,0.36,0.0,0.64,"RT @BBCSpringwatch: Brrr, a chilly one tonight!
Luckily we've some gorgeous grey seals in our advent calendar to warm to cockles of your he…"
9,9,@BBC,0.3818,0.115,0.0,0.885,"RT @bbcmusic: ✨@RagNBoneManUK brought all the feels to #SLFN with his stunning performance of 'As You Are' 
Watch in full 👉https://t.co/JmZ…"
10,10,@BBC,0.4215,0.149,0.0,0.851,30 years of Fairytale of New York: 10 true tales behind the @PoguesOfficial's Christmas favourite. 🎁🎄… https://t.co/LClO0krtv0
11,11,@BBC,0.3612,0.143,0.0,0.857,"Ever wondered what London looked like 2000 years ago? 🇬🇧
#DiggingForBritain, now on @BBCiPlayer 👉… https://t.co/fd74UnWzF4"
12,12,@BBC,0.0,0.0,0.0,1.0,"Tonight, @McInTweet is joined by @JasonManford and @TheVampsband. 🌟🎶😂 Michael McIntyre's Big Show. 8:20pm on… https://t.co/NW4Y5gYger"
13,13,@BBC,0.0,0.0,0.0,1.0,"'I know it's not real because I'm surrounded by people eating crisps.' 😂🎭
#LiveAtTheApollo via @BBCTwo. https://t.co/1zwUd8oCvi"
14,14,@BBC,0.0,0.0,0.0,1.0,"Alice is a 26-year-old mum. She's married, she has schizophrenia &amp; she is fed up of being portrayed as 'dangerous'… https://t.co/hy2APiuz5L"
15,15,@BBC,0.0,0.0,0.0,1.0,Astronomers have discovered the most distant 'supermassive' black hole known to science. ☄🔭 https://t.co/OYWmKfE4t4 https://t.co/10PPSeYkT2
16,16,@BBC,0.0,0.0,0.0,1.0,Claire Foy talks about what will be her last outing as Britain’s longest serving monarch - and hints at choppy wate… https://t.co/z6WuYfwM3d
17,17,@BBC,0.9517,0.607,0.0,0.393,"I'm celebrating natural beauty - 'Instagram isn't real life.' @IAmSonnyTurner
These five body positive champions ar… https://t.co/uUr8AHsfgq"
18,18,@BBC,-0.25,0.0,0.125,0.875,"Could you live with your partner alone in a remote lighthouse for 6 months?
Via @BBCWorldService. https://t.co/7gNRygiGKr"
19,19,@BBC,0.6369,0.296,0.0,0.704,"🎵 Jack Black’s Jumanji theme tune is the best. 😂
Via @BBCOne. https://t.co/bqpYxQ8cot"
20,20,@BBC,-0.4019,0.0,0.124,0.876,Dyslexie is a font that aims to overcome some of the problems that people with dyslexia can have when reading.… https://t.co/d3GZEMdZgc
21,21,@BBC,0.7845,0.301,0.0,0.699,"🔬🌡 Heard of Terrific Scientific, the BBC’s science campaign for primary pupils? 

If you know a brilliant teacher,… https://t.co/DtpAloo5Fe"
22,22,@BBC,-0.6369,0.0,0.215,0.785,Many coastal communities are already battling the effects of sea level rise - and it's made worse by the fact that… https://t.co/WRpTIDB2e9
23,23,@BBC,0.0,0.0,0.0,1.0,"Danielle is breaking deaf world records left right &amp; centre. 🏊❤️️
Via @BBCTheSocial. https://t.co/XRlJU7UdU7"
24,24,@BBC,0.3818,0.218,0.1,0.682,Do you feel pressure when giving Christmas gifts? @DrRadhaModgil discusses the psychology of giving &amp; receiving gif… https://t.co/DtkRGlOvdW
25,25,@BBC,-0.4404,0.0,0.195,0.805,RT @bbcthree: Lynsey is saving condemned dogs and finding them forever homes. https://t.co/aF7j3gaZil
26,26,@BBC,-0.6486,0.0,0.185,0.815,"RT @bbcmusic: Nearly seven months later, we look back on the #OneLoveManchester concert staged by @ArianaGrande after the devastating attac…"
27,27,@BBC,0.34,0.13,0.0,0.87,"RT @BBCr4today: If you do one thing today...

Listen to Gaelynn Lea play the violin #r4today https://t.co/nXixd8e8rO"
28,28,@BBC,0.0,0.0,0.0,1.0,"👂🏻📖 @SJ_Watson was an audiology specialist before penning the international bestseller Before I Go To Sleep. 
5 peo… https://t.co/RqDVSZ8Ntl"
29,29,@BBC,0.4588,0.12,0.0,0.88,"Mason has used his pocket money to fund random acts of kindness this year in memory of his brother, Ross. ❤️️ Via… https://t.co/asKJ9me2MY"
30,30,@BBC,0.0,0.0,0.0,1.0,"Who even needs a calculator anyway? 
Via BBC Minute https://t.co/5LIDp3hZXh"
31,31,@BBC,0.0,0.0,0.0,1.0,"📚 From essays about Cuba’s transformation to a history of US nuclear policy, here are 10 books to read in December.… https://t.co/XvF7FFPWF8"
